Microcharcoal <26 microns,Microcharcoal 26-50 microns,Microcharcoal 51-75 microns,Microcharcoal 76-125 microns,Microcharcoal >125 microns
880,364,70,28,14
605,165,22,11,0
420,84,35,7,0
525,225,70,21,14
8,6,6,4,0
12,8,6,2,2
15,8,1,0,0
3,10,0,0,0
0,3,1,0,0
777,140,70,35,14
13,17,4,5,3
10,5,6,3,0
23,15,9,2,0
35,25,12,3,2
23,12,3,1,0
1428,378,98,84,70
30,5,2,2,0
4,0,0,0,0
5,0,1,0,0
1,2,0,0,0
11,4,1,0,0
6,2,1,2,0
1,1,2,1,0
1,5,1,2,0
70,20,13,4,1
157,30,20,11,6
2,3,2,0,0
23,11,15,2,0
498,102,60,30,12
2250,126,66,66,12
