Pinus,Pinus haploxylon,Abies,Picea,Quercus,Carya,Tilia,Ulmus,Celtis,Juglans,Myrica,Rhus,Rosaceae,Juniperus,Ericaceae,Fraxinus,Alnus,Betula,Salix,Nymphaea,Potamogeton,Typha latifolia,Typha domingensis,Labiatae,Myriophyllum,Onagraceae,Cyperaceae,Phragmites,Poaceae,Asteraceae,Senecio,Solidago,Centaurea,Cirsium,Ambrosia,Artemisia,Cichoriodeae,Apiaceae,Caryophyllaceae,Trifolium,Plantago,Malva,Polygonaceae,Rumex,Ephedra,Chenopodiaceae,Euphorbiaceae,Opuntia,Acacia,Mimosa,Indeterminate
20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,106,0,0,0,0,3,18,5,0,0,0,0,0,0,0,0,73,0,0,0,0,0
6,10,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,83,0,0,0,0,9,2,1,0,0,0,0,0,0,0,0,102,1,2,0,0,0
11,0,0,0,31,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,22,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0
26,0,0,0,45,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,31,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,0,1,0,0,0
66,3,0,0,75,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,34,13,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
8,0,0,1,179,4,0,15,4,4,0,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,1,0,38,27,2,0,0,3,3,27,10,0,0,1,1,0,0,0,3,31,0,15,2,0,10
17,3,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,22,61,5,0,1,0,2,22,12,0,0,0,0,0,0,0,8,50,1,1,0,0,0
21,3,0,0,55,0,0,1,6,0,0,0,0,0,2,12,0,0,2,0,0,1,0,0,0,0,4,0,15,7,27,0,0,0,7,9,9,0,0,0,0,0,0,0,1,9,2,0,0,0,2
16,0,0,0,123,8,0,14,17,0,0,0,0,0,1,14,0,1,1,0,0,0,3,0,0,1,0,0,16,20,3,0,0,0,9,8,1,0,0,0,0,0,0,1,0,5,0,0,0,0,3
8,0,0,0,165,3,0,33,34,0,3,0,1,0,0,11,0,0,0,0,0,0,0,0,1,2,0,0,37,8,0,0,0,1,0,13,2,0,0,0,0,0,0,0,0,2,0,0,1,0,9
8,0,0,0,179,4,0,5,9,0,0,4,0,0,0,0,4,0,12,0,0,0,6,0,0,1,6,0,32,25,4,0,0,0,0,22,1,0,0,1,0,0,0,0,0,12,2,0,0,0,5
107,0,0,2,267,4,0,31,31,0,4,0,0,0,0,28,2,0,3,0,0,0,6,0,0,0,0,0,56,36,9,0,0,3,4,13,3,0,0,0,0,1,0,0,0,1,1,1,0,0,8
46,3,0,0,35,0,0,1,5,0,3,0,0,0,0,12,0,0,1,0,0,0,2,0,0,0,4,0,22,28,10,0,0,0,1,1,14,0,0,0,0,0,0,0,0,6,1,0,0,0,7
26,0,0,0,122,22,0,15,8,1,2,0,1,0,5,10,0,0,3,0,0,0,1,0,0,0,16,0,45,23,2,0,0,4,2,17,9,0,1,0,0,0,0,0,0,6,0,0,0,0,8
19,0,1,1,130,0,1,15,22,0,1,0,0,0,1,9,0,1,4,1,0,0,5,0,0,0,1,1,32,33,72,0,0,0,9,3,0,0,0,0,0,0,0,0,2,29,1,0,0,0,0
22,0,0,0,62,0,0,3,1,0,2,0,2,1,1,5,0,0,4,0,0,1,5,0,0,0,10,0,34,8,11,0,3,0,2,7,3,0,0,1,0,0,0,0,0,4,0,2,0,0,8
43,0,0,1,49,0,0,4,0,0,0,1,0,0,0,0,1,0,2,0,0,2,4,0,0,0,3,0,22,23,0,0,0,1,3,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,5
18,0,1,0,103,0,0,7,47,0,0,0,1,0,1,21,0,0,2,0,0,0,4,0,0,0,1,1,23,15,4,0,0,0,0,6,8,0,0,0,0,0,0,0,0,1,0,0,0,0,7
36,1,1,2,52,0,0,4,8,0,0,0,0,0,0,4,2,0,0,0,0,4,18,0,0,0,12,0,21,27,0,0,4,9,2,8,6,0,0,0,0,0,1,1,0,0,0,0,0,0,6
34,5,1,1,113,6,0,3,8,0,7,0,0,0,0,6,0,0,2,0,0,0,2,1,3,1,2,0,49,23,1,0,0,1,3,30,3,0,0,0,1,0,0,0,0,17,0,0,0,0,7
45,0,0,0,72,0,0,1,17,0,1,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,31,6,22,0,0,0,3,0,4,1,0,0,0,0,0,0,1,7,1,1,0,0,3
50,0,0,0,111,20,1,2,16,0,1,0,0,0,0,5,0,0,11,1,0,0,2,0,1,0,2,1,36,28,2,0,0,0,0,28,7,0,0,0,0,0,0,0,0,22,0,2,1,0,8
31,1,0,0,76,0,0,1,12,0,2,0,0,0,0,19,0,0,2,0,0,0,6,0,0,0,0,0,17,17,2,0,0,1,1,6,5,0,0,0,0,0,0,0,0,9,1,1,0,3,3
85,0,0,2,106,4,0,1,14,0,0,0,0,0,0,11,0,0,2,0,4,6,10,0,0,0,8,0,51,17,4,0,2,0,1,8,14,0,0,0,0,0,0,0,0,4,0,0,0,1,8
